
 exp_p = 0.731060, time = 1.379591, life_exp = 575.091780, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.730780, time = 1.390120, life_exp = 577.956500, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.730590, time = 1.373385, life_exp = 577.002660, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.729000, time = 1.362019, life_exp = 578.022720, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.498610, time = 1.514917, life_exp = 625.249340, a = 0, b = 50, x = 25, N = 100000, p = 0.500000, P = 4

 exp_p = 0.498460, time = 1.439623, life_exp = 623.005540, a = 0, b = 50, x = 25, N = 100000, p = 0.500000, P = 4

 exp_p = 0.500990, time = 1.479674, life_exp = 622.161240, a = 0, b = 50, x = 25, N = 100000, p = 0.500000, P = 4

 exp_p = 0.881090, time = 1.121750, life_exp = 474.847300, a = 0, b = 50, x = 25, N = 100000, p = 0.520000, P = 4

 exp_p = 0.879880, time = 1.124520, life_exp = 476.877900, a = 0, b = 50, x = 25, N = 100000, p = 0.520000, P = 4

 exp_p = 0.880240, time = 1.121748, life_exp = 476.134880, a = 0, b = 50, x = 25, N = 100000, p = 0.520000, P = 4

 exp_p = 0.730640, time = 1.543013, life_exp = 578.961800, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.728710, time = 1.487071, life_exp = 577.717540, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.730770, time = 1.454733, life_exp = 578.158380, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 4

 exp_p = 0.729730, time = 1.552811, life_exp = 579.504820, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp_p = 0.733220, time = 1.508385, life_exp = 576.461520, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp_p = 0.732210, time = 1.506205, life_exp = 577.969920, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp_p = 0.730970, time = 1.373528, life_exp = 579.854200, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp_p = 0.732980, time = 1.584055, life_exp = 576.006260, a = 0, b = 50, x = 25, N = 100000, p = 0.510000, P = 1

 exp_p = 0.731231, time = 14.323588, life_exp = 577.782310, a = 0, b = 50, x = 25, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.730962, time = 13.721596, life_exp = 577.598768, a = 0, b = 50, x = 25, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.598940, time = 2.343247, life_exp = 98.776364, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.599026, time = 2.310540, life_exp = 98.713058, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.598492, time = 2.313698, life_exp = 98.790134, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.598466, time = 2.355680, life_exp = 98.687516, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.598746, time = 2.290895, life_exp = 98.710242, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 1

 exp_p = 0.598912, time = 2.295868, life_exp = 98.631526, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.598333, time = 2.329793, life_exp = 98.683536, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.599053, time = 2.290816, life_exp = 98.666014, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.598286, time = 2.343751, life_exp = 98.596310, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 4

 exp_p = 0.599345, time = 2.321066, life_exp = 98.515610, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 8

 exp_p = 0.599171, time = 2.437587, life_exp = 98.633838, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 8

 exp_p = 0.597772, time = 2.311425, life_exp = 98.671044, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 8

 exp_p = 0.597994, time = 2.422121, life_exp = 98.833582, a = 0, b = 20, x = 10, N = 1000000, p = 0.510000, P = 8

